"Shopify Domain","Job ID","Sheet","Started At","Finished At","Duration","Seconds per Item","Exported","Column Groups","Columns","Filters"
"shopxeroshoes-eu.myshopify.com","550414678","Products","2025-10-23 18:44:11 +0200","2025-10-23 18:54:52 +0200","00:10:41","2.747","233","Base, Category, Collections, Images, Variants, Variant Cost, Metafields, Variant Metafields","ID, Handle, Command, Title, Body HTML, Vendor, Type, Tags, Tags Command, Created At, Updated At, Status, Published, Published At, Published Scope, Template Suffix, Gift Card, URL, Total Inventory Qty, Row #, Top Row, Category: ID, Category: Name, Category, Custom Collections, Smart Collections, Image Type, Image Src, Image Command, Image Position, Image Width, Image Height, Image Alt Text, Variant Inventory Item ID, Variant ID, Variant Command, Option1 Name, Option1 Value, Option2 Name, Option2 Value, Option3 Name, Option3 Value, Variant Position, Variant SKU, Variant Barcode, Variant Image, Variant Weight, Variant Weight Unit, Variant Price, Variant Compare At Price, Variant Taxable, Variant Tax Code, Variant Inventory Tracker, Variant Inventory Policy, Variant Fulfillment Service, Variant Requires Shipping, Variant Inventory Qty, Variant Inventory Adjust, Variant Cost, Metafield: ..., Variant Metafield: ...",""
"shopxeroshoes-eu.myshopify.com","550414678","Smart Collections","2025-10-23 18:54:52 +0200","2025-10-23 18:55:36 +0200","00:00:43","0.182","231","Base, Rules, Products Count, Metafields","ID, Handle, Command, Title, Body HTML, Sort Order, Template Suffix, Updated At, Published, Published At, Published Scope, Image Src, Image Width, Image Height, Image Alt Text, Row #, Top Row, Must Match, Rule: Product Column, Rule: Relation, Rule: Condition, Products Count, Metafield: ...",""
"shopxeroshoes-eu.myshopify.com","550414678","Custom Collections","2025-10-23 18:55:36 +0200","2025-10-23 18:55:39 +0200","00:00:03","0.269","9","Base, Linked Products, Products Count, Metafields","ID, Handle, Command, Title, Body HTML, Sort Order, Template Suffix, Updated At, Published, Published At, Published Scope, Image Src, Image Width, Image Height, Image Alt Text, Row #, Top Row, Product: ID, Product: Handle, Product: Position, Product: Command, Products Count, Metafield: ...",""
"shopxeroshoes-eu.myshopify.com","550414678","Pages","2025-10-23 18:55:39 +0200","2025-10-23 18:55:48 +0200","00:00:09","0.077","111","Base, Metafields","ID, Handle, Command, Title, Body HTML, Created At, Updated At, Published, Published At, Template Suffix, Metafield: ...",""
"shopxeroshoes-eu.myshopify.com","550414678","Blog Posts","2025-10-23 18:55:48 +0200","2025-10-23 18:56:05 +0200","00:00:16","0.114","126","Base, Blogs, Comments, Metafields","ID, Handle, Command, Title, Author, Body HTML, Summary HTML, Tags, Tags Command, Created At, Updated At, Published, Published At, Template Suffix, Image Src, Image Width, Image Height, Image Alt Text, Blog: ID, Blog: Handle, Blog: Title, Blog: Commentable, Blog: Feedburner URL, Blog: Feedburner Path, Blog: Template Suffix, Blog: Created At, Blog: Updated At, Row #, Top Row, Comment: ID, Comment: Author, Comment: Body, Comment: Body HTML, Comment: Email, Comment: Status, Comment: IP, Comment: Browser, Comment: Created At, Comment: Updated At, Comment: Published At, Comment: Command, Metafield: ...",""
"shopxeroshoes-eu.myshopify.com","550414678","Redirects","2025-10-23 18:56:05 +0200","2025-10-23 18:56:06 +0200","00:00:01","0.1","4","Base","ID, Path, Command, Target",""
"shopxeroshoes-eu.myshopify.com","550414678","Files","2025-10-23 18:56:06 +0200","2025-10-23 18:57:51 +0200","00:01:44","0.005","21432","Base, Size Mb","ID, File Name, Command, Link, Alt Text, Created At, Type, Mime Type, Width, Height, Duration, Status, Errors, Size Bytes, Size MB, Size",""
"shopxeroshoes-eu.myshopify.com","550414678","Metaobjects","2025-10-23 18:57:51 +0200","2025-10-23 18:58:09 +0200","00:00:18","0.031","500 of 3669","Base, Field Values","ID, Handle, Command, Display Name, Status, Updated At, Definition: Handle, Definition: Name, Top Row, Row #, Field, Value",""
"shopxeroshoes-eu.myshopify.com","550414678","Menus","2025-10-23 18:58:09 +0200","2025-10-23 18:58:18 +0200","00:00:09","0.674","12","Base, Menu Items","ID, Handle, Command, Title, Is Default, Top Row, Row #, Menu Item: ID, Menu Item: Title, Menu Item: Command, Menu Item: Resource Type, Menu Item: Resource ID, Menu Item: Resource Handle, Menu Item: Collection Tags, Menu Item: URL, Menu Item: Parent ID, Menu Item: Parent Title, Menu Item: Position",""
